TP-EFF_580007-checked-ARG-host_cov_col_13	TP-EFF_580007-checked-ARG-host_cov_col_14	YL-AS_578825-checked-ARG-host_cov_col_13	YL-AS_578825-checked-ARG-host_cov_col_14	SWH-AS_577324-checked-ARG-host_cov_col_13	SWH-AS_577324-checked-ARG-host_cov_col_14	SWH-IN_578335-checked-ARG-host_cov_col_13	SWH-IN_578335-checked-ARG-host_cov_col_14	YL-EFF_579475-checked-ARG-host_cov_col_13	YL-EFF_579475-checked-ARG-host_cov_col_14	ST-IN_577286-checked-ARG-host_cov_col_13	ST-IN_577286-checked-ARG-host_cov_col_14	ST-AS_578410-checked-ARG-host_cov_col_13	ST-AS_578410-checked-ARG-host_cov_col_14	SK-IN_578754-checked-ARG-host_cov_col_13	SK-IN_578754-checked-ARG-host_cov_col_14	ST-ADS_579814-checked-ARG-host_cov_col_13	ST-ADS_579814-checked-ARG-host_cov_col_14	TP-IN_577697-checked-ARG-host_cov_col_13	TP-IN_577697-checked-ARG-host_cov_col_14	TP-AS_578565-checked-ARG-host_cov_col_13	TP-AS_578565-checked-ARG-host_cov_col_14	ST-EEF_579967-checked-ARG-host_cov_col_13	ST-EEF_579967-checked-ARG-host_cov_col_14	SWH-EFF_579360-checked-ARG-host_cov_col_13	SWH-EFF_579360-checked-ARG-host_cov_col_14	YL-IN_577304-ARG-host_cov_col_13	YL-IN_577304-ARG-host_cov_col_14	SK-EFF_577737-checked-ARG-host_cov_col_13	SK-EFF_577737-checked-ARG-host_cov_col_14	SWH-ADS_577436-checked-ARG-host_cov_col_13	SWH-ADS_577436-checked-ARG-host_cov_col_14	STL-EFF_577476-checked-ARG-host_cov_col_13	STL-EFF_577476-checked-ARG-host_cov_col_14	STL-AS_579739-checked-ARG-host_cov_col_13	STL-AS_579739-checked-ARG-host_cov_col_14	SK-AS_579852-checked-ARG-host_cov_col_13	SK-AS_579852-checked-ARG-host_cov_col_14	YL-ADS_577288-checked-ARG-host_cov_col_13	YL-ADS_577288-checked-ARG-host_cov_col_14	TP-ADS_743148-checked-ARG-host_cov_col_13	TP-ADS_743148-checked-ARG-host_cov_col_14	STL-IN_578603-checked-ARG-host_cov_col_13	STL-IN_578603-checked-ARG-host_cov_col_14
						s__Brachymonas sp018054915	15.826567	s__JACKHO01 sp020426515	3.4288497					s__Laribacter hongkongensis	16.581789			s__Bacteroides uniformis	20.49159			s__Pseudomonas_E leptonychotis	2.779505			s__Mesotoga prima	59.7235			s__Ottowia sp020848515	13.428296	s__OLB8 sp018057925	8.667439					s__JADJSS01 sp020636535	3.3995066				
						s__Giesbergeria sp010020825	28.090355	s__Giesbergeria sp010020825	9.24955					s__Agathobacter rectalis	35.36929			s__Sutterella wadsworthensis_A	4.0885987			s__Gordonia polyisoprenivorans	13.965284			s__Neisseria suis	8.38218			s__Atribacter sp002069605	2.7983806	s__Sterolibacterium sp018062105	3.5770202										
						s__Megamonas funiformis	14.903399	s__OLB8 sp001567405	7.3468466					s__Lachnospira eligens_A	10.423856			s__JACKKV01 sp024236235	3.7445621			s__Thauera sp003963015	5.756437			s__Streptococcus suis_AA	79.326485					s__Caedibacter taeniospiralis	2.3438745										
						s__Pseudoxanthomonas_A mexicana	7.9781895							s__Acetoanaerobium noterae	16.942905			s__Phocaeicola vulgatus	36.573902			s__Ottowia sp018240925	3.5803087			s__Bacteroides uniformis	7.622924					s__Ottowia sp018240925	10.999825										
						s__Sphaerotilus sulfidivorans	27.596607							s__Sulfurospirillum sp001548035	31.092995			s__Moraxella porci	19.031889			s__Gordonia malaquae	17.746283			s__Albidovulum sp024236495	16.120644					s__Prevotella sp018054505	2.9637537										
						s__Bacteroides uniformis	16.29645							s__Brachymonas sp018054915	19.074759			s__Enterococcus_F sp017426705	14.535048							s__Agathobacter rectalis	5.8753138					s__Nitrosomonas sp008015595	5.073131										
														s__Brachymonas sp017996515	6.643451											s__Acinetobacter towneri	13.418223					s__Megamonas funiformis	3.776164										
														s__Moraxella porci	14.479207											s__UBA1368 sp002305965	8.113731																
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
