TP-EFF_580007-checked-ARG-host_cov_col_7	TP-EFF_580007-checked-ARG-host_cov_col_8	YL-AS_578825-checked-ARG-host_cov_col_7	YL-AS_578825-checked-ARG-host_cov_col_8	SWH-AS_577324-checked-ARG-host_cov_col_7	SWH-AS_577324-checked-ARG-host_cov_col_8	SWH-IN_578335-checked-ARG-host_cov_col_7	SWH-IN_578335-checked-ARG-host_cov_col_8	YL-EFF_579475-checked-ARG-host_cov_col_7	YL-EFF_579475-checked-ARG-host_cov_col_8	ST-IN_577286-checked-ARG-host_cov_col_7	ST-IN_577286-checked-ARG-host_cov_col_8	ST-AS_578410-checked-ARG-host_cov_col_7	ST-AS_578410-checked-ARG-host_cov_col_8	SK-IN_578754-checked-ARG-host_cov_col_7	SK-IN_578754-checked-ARG-host_cov_col_8	ST-ADS_579814-checked-ARG-host_cov_col_7	ST-ADS_579814-checked-ARG-host_cov_col_8	TP-IN_577697-checked-ARG-host_cov_col_7	TP-IN_577697-checked-ARG-host_cov_col_8	TP-AS_578565-checked-ARG-host_cov_col_7	TP-AS_578565-checked-ARG-host_cov_col_8	ST-EEF_579967-checked-ARG-host_cov_col_7	ST-EEF_579967-checked-ARG-host_cov_col_8	SWH-EFF_579360-checked-ARG-host_cov_col_7	SWH-EFF_579360-checked-ARG-host_cov_col_8	YL-IN_577304-ARG-host_cov_col_7	YL-IN_577304-ARG-host_cov_col_8	SK-EFF_577737-checked-ARG-host_cov_col_7	SK-EFF_577737-checked-ARG-host_cov_col_8	SWH-ADS_577436-checked-ARG-host_cov_col_7	SWH-ADS_577436-checked-ARG-host_cov_col_8	STL-EFF_577476-checked-ARG-host_cov_col_7	STL-EFF_577476-checked-ARG-host_cov_col_8	STL-AS_579739-checked-ARG-host_cov_col_7	STL-AS_579739-checked-ARG-host_cov_col_8	SK-AS_579852-checked-ARG-host_cov_col_7	SK-AS_579852-checked-ARG-host_cov_col_8	YL-ADS_577288-checked-ARG-host_cov_col_7	YL-ADS_577288-checked-ARG-host_cov_col_8	TP-ADS_743148-checked-ARG-host_cov_col_7	TP-ADS_743148-checked-ARG-host_cov_col_8	STL-IN_578603-checked-ARG-host_cov_col_7	STL-IN_578603-checked-ARG-host_cov_col_8
o__NS11-12g	3.3489616					o__Rhizobiales	5.157024			o__Oscillospirales	6.831798			o__Campylobacterales	31.092995			o__Lachnospirales	6.0807347							o__Lachnospirales	5.8753138	o__Nitrospirales	9.4481	o__Syntrophomonadales	19.148507	o__Francisellales	2.3438745	o__Turneriellales	2.4154377								
o__Zapsychrales	4.2544127					o__Selenomonadales	14.903399			o__Thiotrichales	6.265927							o__Bacteroidales	57.06549199999999							o__Rhizobiales	7.053468	o__Brevibacillales	3.322656	o__Sphingomonadales	15.6199871	o__Paracaedibacterales	3.1883028										
o__Promineofilales	3.7114046					o__Xanthomonadales	7.9781895											o__Competibacterales	7.452606							o__Pseudomonadales	13.418223			o__UBA1845	1.8328713	o__Xanthomonadales	11.247307										
																		o__Sphingomonadales	3.7445621							o__Syntrophomonadales	8.113731			o__Atribacterales	2.7983806	o__Selenomonadales	3.776164										
																		o__Lactobacillales	14.535048											o__Chitinophagales	2.4722319												
																														o__Competibacterales	10.989085												
																														o__Syntrophales	5.1256504												
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
